ID,Positively charged,Polarity,Non polarity,Cyclic,Aromaticity,Basicity,Hydrophobicity,Hydrophilicity,Small
Seq_1,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5
Seq_2,0.118,0.059,0.706,0.059,0.059,0.118,0.765,0.294,0.765
Seq_3,0.118,0.059,0.706,0.059,0.059,0.118,0.765,0.294,0.765
Seq_4,0.118,0.059,0.706,0.059,0.059,0.118,0.765,0.294,0.765
Seq_5,0.118,0.118,0.647,0.059,0.059,0.118,0.706,0.294,0.765
Seq_6,0.118,0.118,0.647,0.059,0.118,0.118,0.706,0.294,0.706
Seq_7,0.118,0.118,0.647,0.059,0.118,0.118,0.706,0.294,0.706
Seq_8,0.118,0.118,0.588,0.059,0.118,0.118,0.647,0.294,0.647
Seq_9,0.118,0.176,0.529,0.059,0.118,0.118,0.588,0.294,0.647
Seq_10,0.118,0.176,0.529,0.059,0.118,0.118,0.588,0.294,0.647
Seq_11,0.118,0.176,0.529,0.059,0.118,0.118,0.588,0.294,0.588
Seq_12,0.176,0.176,0.529,0.059,0.118,0.176,0.588,0.294,0.529
Seq_13,0.235,0.176,0.471,0.059,0.118,0.235,0.529,0.353,0.529
Seq_14,0.176,0.176,0.529,0.059,0.118,0.176,0.588,0.294,0.588
Seq_15,0.176,0.118,0.588,0.059,0.118,0.176,0.588,0.294,0.529
Seq_16,0.176,0.118,0.588,0.059,0.118,0.176,0.588,0.235,0.529
Seq_17,0.176,0.118,0.529,0.0,0.118,0.176,0.529,0.235,0.529
Seq_18,0.176,0.118,0.529,0.0,0.059,0.176,0.529,0.235,0.588
Seq_19,0.118,0.118,0.588,0.0,0.059,0.118,0.529,0.176,0.647
Seq_20,0.118,0.176,0.529,0.0,0.118,0.118,0.471,0.176,0.588
Seq_21,0.118,0.176,0.529,0.0,0.118,0.118,0.471,0.176,0.529
Seq_22,0.118,0.118,0.588,0.0,0.118,0.118,0.529,0.176,0.471
Seq_23,0.118,0.118,0.588,0.0,0.059,0.118,0.529,0.176,0.529
Seq_24,0.118,0.118,0.529,0.0,0.059,0.118,0.471,0.176,0.471
Seq_25,0.118,0.118,0.588,0.0,0.059,0.118,0.529,0.176,0.471
Seq_26,0.176,0.059,0.588,0.0,0.059,0.176,0.529,0.235,0.412
Seq_27,0.176,0.118,0.529,0.0,0.118,0.176,0.471,0.235,0.353
Seq_28,0.176,0.118,0.471,0.0,0.118,0.176,0.412,0.235,0.412
Seq_29,0.118,0.118,0.529,0.0,0.118,0.118,0.412,0.176,0.471
Seq_30,0.059,0.118,0.588,0.0,0.118,0.059,0.471,0.118,0.529
Seq_31,0.118,0.118,0.529,0.0,0.118,0.118,0.412,0.176,0.471
Seq_32,0.118,0.118,0.529,0.0,0.118,0.118,0.353,0.176,0.529
Seq_33,0.118,0.118,0.529,0.0,0.118,0.118,0.353,0.235,0.529
Seq_34,0.118,0.118,0.588,0.0,0.118,0.118,0.412,0.176,0.471
Seq_35,0.118,0.176,0.529,0.0,0.118,0.118,0.412,0.176,0.471
Seq_36,0.118,0.176,0.529,0.0,0.118,0.118,0.471,0.176,0.471
Seq_37,0.118,0.118,0.529,0.0,0.059,0.118,0.471,0.176,0.529
Seq_38,0.118,0.118,0.471,0.0,0.059,0.118,0.412,0.235,0.588
Seq_39,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.235,0.647
Seq_40,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.235,0.647
Seq_41,0.118,0.176,0.412,0.0,0.059,0.118,0.412,0.294,0.706
Seq_42,0.118,0.235,0.353,0.0,0.059,0.118,0.353,0.294,0.765
Seq_43,0.059,0.294,0.353,0.0,0.118,0.059,0.353,0.235,0.765
Seq_44,0.059,0.235,0.412,0.0,0.118,0.059,0.412,0.235,0.765
Seq_45,0.059,0.235,0.471,0.0,0.118,0.059,0.471,0.235,0.706
Seq_46,0.059,0.294,0.412,0.0,0.118,0.059,0.471,0.235,0.706
Seq_47,0.118,0.294,0.353,0.0,0.118,0.118,0.412,0.294,0.647
Seq_48,0.059,0.294,0.412,0.0,0.118,0.059,0.471,0.235,0.706
Seq_49,0.059,0.353,0.353,0.0,0.118,0.059,0.471,0.235,0.706
Seq_50,0.118,0.353,0.353,0.0,0.118,0.118,0.471,0.235,0.647
Seq_51,0.118,0.412,0.294,0.0,0.118,0.118,0.471,0.235,0.706
Seq_52,0.118,0.353,0.353,0.0,0.118,0.118,0.471,0.235,0.647
Seq_53,0.118,0.353,0.353,0.059,0.118,0.118,0.471,0.294,0.647
Seq_54,0.118,0.353,0.412,0.059,0.118,0.118,0.529,0.294,0.647
Seq_55,0.118,0.353,0.471,0.059,0.118,0.118,0.588,0.235,0.588
Seq_56,0.118,0.294,0.471,0.059,0.118,0.118,0.529,0.235,0.529
Seq_57,0.176,0.294,0.412,0.059,0.118,0.176,0.471,0.294,0.471
Seq_58,0.176,0.294,0.471,0.059,0.118,0.176,0.529,0.235,0.412
Seq_59,0.176,0.235,0.471,0.059,0.118,0.176,0.529,0.294,0.412
Seq_60,0.176,0.176,0.529,0.059,0.059,0.176,0.529,0.294,0.471
Seq_61,0.176,0.176,0.529,0.059,0.059,0.176,0.529,0.294,0.471
Seq_62,0.176,0.176,0.471,0.059,0.059,0.176,0.471,0.294,0.529
Seq_63,0.176,0.118,0.529,0.059,0.059,0.176,0.529,0.294,0.529
Seq_64,0.176,0.118,0.529,0.059,0.059,0.176,0.529,0.294,0.529
Seq_65,0.176,0.118,0.529,0.059,0.118,0.176,0.529,0.294,0.471
Seq_66,0.235,0.059,0.529,0.059,0.118,0.235,0.529,0.353,0.412
Seq_67,0.235,0.059,0.529,0.059,0.118,0.235,0.529,0.353,0.412
Seq_68,0.235,0.0,0.588,0.059,0.118,0.235,0.529,0.353,0.353
Seq_69,0.235,0.0,0.588,0.059,0.118,0.235,0.529,0.353,0.353
Seq_70,0.235,0.0,0.529,0.0,0.118,0.235,0.471,0.353,0.353
Seq_71,0.235,0.0,0.471,0.0,0.118,0.235,0.412,0.353,0.353
Seq_72,0.235,0.0,0.412,0.0,0.118,0.235,0.353,0.353,0.412
Seq_73,0.294,0.0,0.412,0.0,0.118,0.294,0.353,0.412,0.412
Seq_74,0.235,0.059,0.412,0.0,0.118,0.235,0.412,0.353,0.471
Seq_75,0.235,0.059,0.412,0.0,0.176,0.235,0.412,0.353,0.471
Seq_76,0.235,0.118,0.412,0.0,0.235,0.235,0.412,0.294,0.412
Seq_77,0.294,0.118,0.353,0.0,0.235,0.294,0.412,0.353,0.353
Seq_78,0.294,0.118,0.294,0.0,0.176,0.294,0.353,0.353,0.412
Seq_79,0.294,0.118,0.353,0.0,0.176,0.294,0.353,0.353,0.412
Seq_80,0.294,0.118,0.353,0.0,0.235,0.294,0.353,0.353,0.353
Seq_81,0.235,0.118,0.412,0.0,0.235,0.235,0.412,0.294,0.353
Seq_82,0.235,0.118,0.412,0.0,0.176,0.235,0.412,0.294,0.353
Seq_83,0.176,0.118,0.412,0.0,0.176,0.176,0.412,0.235,0.412
Seq_84,0.118,0.118,0.471,0.0,0.176,0.118,0.412,0.176,0.471
Seq_85,0.118,0.118,0.412,0.0,0.176,0.118,0.353,0.176,0.471
Seq_86,0.118,0.118,0.412,0.0,0.176,0.118,0.353,0.176,0.471
Seq_87,0.118,0.118,0.471,0.0,0.176,0.118,0.412,0.118,0.412
Seq_88,0.118,0.118,0.529,0.0,0.176,0.118,0.471,0.118,0.412
Seq_89,0.176,0.118,0.529,0.0,0.176,0.176,0.471,0.176,0.353
Seq_90,0.118,0.118,0.588,0.0,0.176,0.118,0.471,0.118,0.412
Seq_91,0.118,0.059,0.647,0.0,0.176,0.118,0.471,0.118,0.412
Seq_92,0.118,0.059,0.588,0.0,0.118,0.118,0.412,0.118,0.471
Seq_93,0.118,0.0,0.647,0.0,0.118,0.118,0.471,0.118,0.471
Seq_94,0.059,0.0,0.647,0.0,0.118,0.059,0.471,0.118,0.529
Seq_95,0.059,0.059,0.647,0.0,0.118,0.059,0.529,0.118,0.529
